Với chất giọng đẹp và phong cách biểu diễn "bốc lửa", Ngọc Anh khá thành công trên con đường ca hát	[('Với', 'E', 'B-PP', 'O'), ('chất', 'N', 'B-NP', 'O'), ('giọng', 'N', 'B-NP', 'O'), ('đẹp', 'A', 'B-AP', 'O'), ('và', 'C', 'O', 'O'), ('phong cách', 'N', 'B-NP', 'O'), ('biểu diễn', 'V', 'B-VP', 'O'), ('"', 'CH', 'O', 'O'), ('bốc lửa', 'X', 'O', 'O'), ('"', 'CH', 'O', 'O'), (',', 'CH', 'O', 'O'), ('Ngọc Anh', 'Np', 'B-NP', 'B-PER'), ('khá', 'R', 'O', 'O'), ('thành công', 'V', 'B-VP', 'O'), ('trên', 'E', 'B-PP', 'O'), ('con', 'Nc', 'B-NP', 'O'), ('đường', 'N', 'B-NP', 'O'), ('ca hát', 'M', 'B-NP', 'O')]
Mỗi album của chị để lại những ấn tượng thật đẹp trong lòng công chúng	[('Mỗi', 'M', 'B-NP', 'O'), ('album', 'N', 'B-NP', 'O'), ('của', 'E', 'B-PP', 'O'), ('chị', 'Nc', 'B-NP', 'O'), ('để', 'V', 'B-VP', 'O'), ('lại', 'V', 'B-VP', 'O'), ('những', 'L', 'B-NP', 'O'), ('ấn tượng', 'N', 'B-NP', 'O'), ('thật', 'T', 'O', 'O'), ('đẹp', 'A', 'B-AP', 'O'), ('trong', 'E', 'B-PP', 'O'), ('lòng', 'N', 'B-NP', 'B-LOC'), ('công chúng', 'M', 'B-NP', 'I-LOC')]
Ngọc Anh tâm sự về gia đình hạnh phúc của mình	[('Ngọc Anh', 'N', 'B-NP', 'O'), ('tâm sự', 'V', 'B-VP', 'O'), ('về', 'E', 'B-PP', 'O'), ('gia đình', 'N', 'B-NP', 'O'), ('hạnh phúc', 'N', 'B-NP', 'O'), ('của', 'E', 'B-PP', 'O'), ('mình', 'P', 'B-NP', 'O')]
- Có lần chị thổ lộ, mình ca hát thành công một phần nhờ người yêu	[('-', 'CH', 'O', 'O'), ('Có', 'V', 'B-VP', 'O'), ('lần', 'N', 'B-NP', 'O'), ('chị', 'Nc', 'B-NP', 'O'), ('thổ lộ', 'V', 'B-VP', 'O'), (',', 'CH', 'O', 'O'), ('mình', 'P', 'B-NP', 'O'), ('ca hát', 'V', 'B-VP', 'O'), ('thành công', 'V', 'B-VP', 'O'), ('một', 'M', 'B-NP', 'O'), ('phần', 'N', 'B-NP', 'O'), ('nhờ', 'V', 'B-VP', 'O'), ('người yêu', 'N', 'B-NP', 'O')]
Tình yêu ấy đã mang tới cảm hứng sáng tạo cho chị như thế nào?	[('Tình yêu', 'N', 'B-NP', 'O'), ('ấy', 'P', 'B-NP', 'O'), ('đã', 'R', 'O', 'O'), ('mang', 'V', 'B-VP', 'O'), ('tới', 'E', 'B-PP', 'O'), ('cảm hứng', 'N', 'B-NP', 'O'), ('sáng tạo', 'V', 'B-VP', 'O'), ('cho', 'E', 'B-PP', 'O'), ('chị', 'Nc', 'B-NP', 'O'), ('như', 'C', 'O', 'O'), ('thế nào', 'P', 'B-NP', 'O'), ('?', 'CH', 'O', 'O')]
- Mười bảy tuổi tôi đã có mối tình thứ hai, yêu sớm quá phải không? Một ngày đẹp trời tập hát xong đang ngồi mơ màng uống nước giải khát thì anh ấy lân la đến hỏi thăm, hai người cùng chơi chung ban nhạc Tây Hồ	[('-', 'CH', 'O', 'O'), ('Mười', 'Np', 'B-NP', 'B-PER'), ('bảy', 'M', 'B-NP', 'O'), ('tuổi', 'N', 'B-NP', 'O'), ('tôi', 'P', 'B-NP', 'O'), ('đã', 'R', 'O', 'O'), ('có', 'V', 'B-VP', 'O'), ('mối', 'N', 'B-NP', 'B-LOC'), ('tình', 'N', 'B-NP', 'I-LOC'), ('thứ', 'N', 'B-NP', 'I-LOC'), ('hai', 'M', 'B-NP', 'I-LOC'), (',', 'CH', 'O', 'O'), ('yêu', 'V', 'B-VP', 'O'), ('sớm', 'A', 'B-AP', 'O'), ('quá', 'R', 'O', 'O'), ('phải', 'A', 'B-AP', 'O'), ('không', 'R', 'O', 'O'), ('?', 'CH', 'O', 'O'), ('Một', 'M', 'B-NP', 'O'), ('ngày', 'N', 'B-NP', 'O'), ('đẹp', 'A', 'B-AP', 'O'), ('trời', 'N', 'B-NP', 'O'), ('tập', 'V', 'B-VP', 'O'), ('hát', 'V', 'B-VP', 'O'), ('xong', 'R', 'O', 'O'), ('đang', 'R', 'O', 'O'), ('ngồi', 'V', 'B-VP', 'O'), ('mơ màng', 'V', 'B-VP', 'O'), ('uống', 'V', 'B-VP', 'O'), ('nước giải khát', 'N', 'B-NP', 'O'), ('thì', 'C', 'O', 'O'), ('anh', 'Nc', 'B-NP', 'O'), ('ấy', 'P', 'B-NP', 'O'), ('lân la', 'V', 'B-VP', 'O'), ('đến', 'E', 'B-PP', 'O'), ('hỏi thăm', 'V', 'B-VP', 'O'), (',', 'CH', 'O', 'O'), ('hai', 'M', 'B-NP', 'O'), ('người', 'N', 'B-NP', 'O'), ('cùng', 'A', 'B-AP', 'O'), ('chơi', 'V', 'B-VP', 'O'), ('chung', 'A', 'B-AP', 'O'), ('ban', 'N', 'B-NP', 'B-LOC'), ('nhạc', 'N', 'B-NP', 'I-LOC'), ('Tây Hồ', 'Np', 'B-NP', 'I-LOC')]
Trước đây tôi từng nghe về tiếng sét ái tình nhưng không hình dung được nó thế nào	[('Trước', 'N', 'B-NP', 'O'), ('đây', 'P', 'B-NP', 'O'), ('tôi', 'P', 'B-NP', 'O'), ('từng', 'R', 'O', 'O'), ('nghe', 'V', 'B-VP', 'O'), ('về', 'E', 'B-PP', 'O'), ('tiếng', 'N', 'B-NP', 'O'), ('sét', 'N', 'B-NP', 'O'), ('ái tình', 'A', 'B-AP', 'O'), ('nhưng', 'C', 'O', 'O'), ('không', 'R', 'O', 'O'), ('hình dung', 'V', 'B-VP', 'O'), ('được', 'V', 'B-VP', 'O'), ('nó', 'P', 'B-NP', 'O'), ('thế nào', 'X', 'O', 'O')]
Vậy mà đùng một cái, nó đánh trúng ngay tim	[('Vậy mà', 'C', 'O', 'O'), ('đùng', 'V', 'B-VP', 'O'), ('một', 'M', 'B-NP', 'O'), ('cái', 'T', 'O', 'O'), (',', 'CH', 'O', 'O'), ('nó', 'P', 'B-NP', 'O'), ('đánh', 'V', 'B-VP', 'O'), ('trúng', 'V', 'B-VP', 'O'), ('ngay', 'T', 'O', 'O'), ('tim', 'N', 'B-NP', 'O')]
Loạn nhịp mất một thời gian dài mới trấn tĩnh được và say mê nhau đến giờ	[('Loạn nhịp', 'V', 'B-VP', 'O'), ('mất', 'V', 'B-VP', 'O'), ('một', 'M', 'B-NP', 'O'), ('thời gian', 'N', 'B-NP', 'O'), ('dài', 'A', 'B-AP', 'O'), ('mới', 'R', 'O', 'O'), ('trấn tĩnh', 'V', 'B-VP', 'O'), ('được', 'R', 'O', 'O'), ('và', 'C', 'O', 'O'), ('say mê', 'V', 'B-VP', 'O'), ('nhau', 'N', 'B-NP', 'O'), ('đến', 'E', 'B-PP', 'O'), ('giờ', 'N', 'B-NP', 'O')]
Đó là anh Trần Hùng, con trai cưng của NSND Tường Vi và bố của "thằng cu Trần Anh Trung" bây giờ	[('Đó', 'P', 'B-NP', 'O'), ('là', 'V', 'B-VP', 'O'), ('anh', 'Nc', 'B-NP', 'O'), ('Trần Hùng', 'Np', 'B-NP', 'B-PER'), (',', 'CH', 'O', 'O'), ('con trai', 'N', 'B-NP', 'O'), ('cưng', 'N', 'B-NP', 'O'), ('của', 'E', 'B-PP', 'O'), ('NSND', 'Np', 'B-NP', 'B-PER'), ('Tường Vi', 'Np', 'I-NP', 'I-PER'), ('và', 'C', 'O', 'O'), ('bố', 'N', 'B-NP', 'O'), ('của', 'E', 'B-PP', 'O'), ('"', 'CH', 'O', 'O'), ('thằng', 'Nc', 'B-NP', 'O'), ('cu', 'N', 'B-NP', 'B-LOC'), ('Trần Anh', 'Np', 'B-NP', 'I-LOC'), ('Trung', 'Np', 'B-NP', 'B-PER'), ('"', 'CH', 'O', 'O'), ('bây giờ', 'P', 'B-NP', 'O')]
Thật tuyệt, những chỗ nào hát chưa ổn, mẹ chỉnh cho là xong ngay	[('Thật', 'R', 'O', 'O'), ('tuyệt', 'A', 'B-AP', 'O'), (',', 'CH', 'O', 'O'), ('những', 'L', 'B-NP', 'O'), ('chỗ', 'N', 'B-NP', 'O'), ('nào', 'P', 'B-NP', 'O'), ('hát', 'V', 'B-VP', 'O'), ('chưa', 'R', 'O', 'O'), ('ổn', 'A', 'B-AP', 'O'), (',', 'CH', 'O', 'O'), ('mẹ', 'N', 'B-NP', 'O'), ('chỉnh', 'V', 'B-VP', 'O'), ('cho', 'V', 'B-VP', 'O'), ('là', 'C', 'O', 'O'), ('xong', 'V', 'B-VP', 'O'), ('ngay', 'T', 'O', 'O')]
