Với chất giọng đẹp và phong cách biểu diễn "bốc lửa", Ngọc Anh khá thành công trên con đường ca hát	[('Với', 'E'), ('chất', 'N'), ('giọng', 'N'), ('đẹp', 'A'), ('và', 'C'), ('phong cách', 'N'), ('biểu diễn', 'V'), ('"', 'CH'), ('bốc lửa', 'X'), ('"', 'CH'), (',', 'CH'), ('Ngọc Anh', 'Np'), ('khá', 'R'), ('thành công', 'V'), ('trên', 'E'), ('con', 'Nc'), ('đường', 'N'), ('ca hát', 'M')]
Mỗi album của chị để lại những ấn tượng thật đẹp trong lòng công chúng	[('Mỗi', 'M'), ('album', 'N'), ('của', 'E'), ('chị', 'Nc'), ('để', 'V'), ('lại', 'V'), ('những', 'L'), ('ấn tượng', 'N'), ('thật', 'T'), ('đẹp', 'A'), ('trong', 'E'), ('lòng', 'N'), ('công chúng', 'M')]
Ngọc Anh tâm sự về gia đình hạnh phúc của mình	[('Ngọc Anh', 'N'), ('tâm sự', 'V'), ('về', 'E'), ('gia đình', 'N'), ('hạnh phúc', 'N'), ('của', 'E'), ('mình', 'P')]
- Có lần chị thổ lộ, mình ca hát thành công một phần nhờ người yêu	[('-', 'CH'), ('Có', 'V'), ('lần', 'N'), ('chị', 'Nc'), ('thổ lộ', 'V'), (',', 'CH'), ('mình', 'P'), ('ca hát', 'V'), ('thành công', 'V'), ('một', 'M'), ('phần', 'N'), ('nhờ', 'V'), ('người yêu', 'N')]
Tình yêu ấy đã mang tới cảm hứng sáng tạo cho chị như thế nào?	[('Tình yêu', 'N'), ('ấy', 'P'), ('đã', 'R'), ('mang', 'V'), ('tới', 'E'), ('cảm hứng', 'N'), ('sáng tạo', 'V'), ('cho', 'E'), ('chị', 'Nc'), ('như', 'C'), ('thế nào', 'P'), ('?', 'CH')]
- Mười bảy tuổi tôi đã có mối tình thứ hai, yêu sớm quá phải không? Một ngày đẹp trời tập hát xong đang ngồi mơ màng uống nước giải khát thì anh ấy lân la đến hỏi thăm, hai người cùng chơi chung ban nhạc Tây Hồ	[('-', 'CH'), ('Mười', 'Np'), ('bảy', 'M'), ('tuổi', 'N'), ('tôi', 'P'), ('đã', 'R'), ('có', 'V'), ('mối', 'N'), ('tình', 'N'), ('thứ', 'N'), ('hai', 'M'), (',', 'CH'), ('yêu', 'V'), ('sớm', 'A'), ('quá', 'R'), ('phải', 'A'), ('không', 'R'), ('?', 'CH'), ('Một', 'M'), ('ngày', 'N'), ('đẹp', 'A'), ('trời', 'N'), ('tập', 'V'), ('hát', 'V'), ('xong', 'R'), ('đang', 'R'), ('ngồi', 'V'), ('mơ màng', 'V'), ('uống', 'V'), ('nước giải khát', 'N'), ('thì', 'C'), ('anh', 'Nc'), ('ấy', 'P'), ('lân la', 'V'), ('đến', 'E'), ('hỏi thăm', 'V'), (',', 'CH'), ('hai', 'M'), ('người', 'N'), ('cùng', 'A'), ('chơi', 'V'), ('chung', 'A'), ('ban', 'N'), ('nhạc', 'N'), ('Tây Hồ', 'Np')]
Trước đây tôi từng nghe về tiếng sét ái tình nhưng không hình dung được nó thế nào	[('Trước', 'N'), ('đây', 'P'), ('tôi', 'P'), ('từng', 'R'), ('nghe', 'V'), ('về', 'E'), ('tiếng', 'N'), ('sét', 'N'), ('ái tình', 'A'), ('nhưng', 'C'), ('không', 'R'), ('hình dung', 'V'), ('được', 'V'), ('nó', 'P'), ('thế nào', 'X')]
Vậy mà đùng một cái, nó đánh trúng ngay tim	[('Vậy mà', 'C'), ('đùng', 'V'), ('một', 'M'), ('cái', 'T'), (',', 'CH'), ('nó', 'P'), ('đánh', 'V'), ('trúng', 'V'), ('ngay', 'T'), ('tim', 'N')]
Loạn nhịp mất một thời gian dài mới trấn tĩnh được và say mê nhau đến giờ	[('Loạn nhịp', 'V'), ('mất', 'V'), ('một', 'M'), ('thời gian', 'N'), ('dài', 'A'), ('mới', 'R'), ('trấn tĩnh', 'V'), ('được', 'R'), ('và', 'C'), ('say mê', 'V'), ('nhau', 'N'), ('đến', 'E'), ('giờ', 'N')]
Đó là anh Trần Hùng, con trai cưng của NSND Tường Vi và bố của "thằng cu Trần Anh Trung" bây giờ	[('Đó', 'P'), ('là', 'V'), ('anh', 'Nc'), ('Trần Hùng', 'Np'), (',', 'CH'), ('con trai', 'N'), ('cưng', 'N'), ('của', 'E'), ('NSND', 'Np'), ('Tường Vi', 'Np'), ('và', 'C'), ('bố', 'N'), ('của', 'E'), ('"', 'CH'), ('thằng', 'Nc'), ('cu', 'N'), ('Trần Anh', 'Np'), ('Trung', 'Np'), ('"', 'CH'), ('bây giờ', 'P')]
Thật tuyệt, những chỗ nào hát chưa ổn, mẹ chỉnh cho là xong ngay	[('Thật', 'R'), ('tuyệt', 'A'), (',', 'CH'), ('những', 'L'), ('chỗ', 'N'), ('nào', 'P'), ('hát', 'V'), ('chưa', 'R'), ('ổn', 'A'), (',', 'CH'), ('mẹ', 'N'), ('chỉnh', 'V'), ('cho', 'V'), ('là', 'C'), ('xong', 'V'), ('ngay', 'T')]
Anh Hùng thì làm nhạc, hòa âm cho tôi và luôn động viên an ủi	[('Anh Hùng', 'N'), ('thì', 'C'), ('làm', 'V'), ('nhạc', 'N'), (',', 'CH'), ('hòa âm', 'V'), ('cho', 'E'), ('tôi', 'P'), ('và', 'C'), ('luôn', 'R'), ('động viên', 'V'), ('an ủi', 'V')]
Lúc nào anh cũng đứng trong cánh gà dõi theo khi tôi lên sân khấu hát	[('Lúc', 'N'), ('nào', 'P'), ('anh', 'Nc'), ('cũng', 'R'), ('đứng', 'V'), ('trong', 'E'), ('cánh gà', 'N'), ('dõi', 'V'), ('theo', 'V'), ('khi', 'N'), ('tôi', 'P'), ('lên', 'V'), ('sân khấu', 'N'), ('hát', 'V')]
Anh nắm tay chia sẻ mọi niềm vui, nỗi buồn và những lúc mệt mỏi	[('Anh', 'Nc'), ('nắm', 'V'), ('tay', 'N'), ('chia sẻ', 'V'), ('mọi', 'L'), ('niềm', 'N'), ('vui', 'A'), (',', 'CH'), ('nỗi', 'N'), ('buồn', 'A'), ('và', 'C'), ('những', 'L'), ('lúc', 'N'), ('mệt mỏi', 'A')]
Một phần thành công của tôi bắt đầu từ những điều như thế	[('Một', 'M'), ('phần', 'N'), ('thành công', 'N'), ('của', 'E'), ('tôi', 'P'), ('bắt đầu', 'V'), ('từ', 'E'), ('những', 'L'), ('điều', 'N'), ('như', 'C'), ('thế', 'P')]
