Với chất giọng đẹp và phong cách biểu diễn "bốc lửa", Ngọc Anh khá thành công trên con đường ca hát	[[('Với', 'E'), ('chất', 'N'), ('giọng', 'N'), ('đẹp', 'A'), ('và', 'Cc'), ('phong_cách', 'N'), ('biểu_diễn', 'V'), ('"', 'CH'), ('bốc_lửa', 'A'), ('"', 'CH'), (',', 'CH'), ('Ngọc_Anh', 'Np'), ('khá', 'R'), ('thành_công', 'V'), ('trên', 'E'), ('con', 'Nc'), ('đường', 'N'), ('ca_hát', 'V')]]
Mỗi album của chị để lại những ấn tượng thật đẹp trong lòng công chúng	[[('Mỗi', 'M'), ('album', 'Nb'), ('của', 'E'), ('chị', 'N'), ('để', 'V'), ('lại', 'R'), ('những', 'L'), ('ấn_tượng', 'N'), ('thật', 'R'), ('đẹp', 'A'), ('trong', 'E'), ('lòng', 'N'), ('công_chúng', 'N')]]
Ngọc Anh tâm sự về gia đình hạnh phúc của mình	[[('Ngọc_Anh', 'N'), ('tâm_sự', 'V'), ('về', 'E'), ('gia_đình', 'N'), ('hạnh_phúc', 'A'), ('của', 'E'), ('mình', 'P')]]
- Có lần chị thổ lộ, mình ca hát thành công một phần nhờ người yêu	[[('-', 'CH'), ('Có', 'V'), ('lần', 'N'), ('chị', 'N'), ('thổ_lộ', 'V'), (',', 'CH'), ('mình', 'P'), ('ca_hát', 'V'), ('thành_công', 'V'), ('một', 'M'), ('phần', 'N'), ('nhờ', 'V'), ('người', 'N'), ('yêu', 'V')]]
Tình yêu ấy đã mang tới cảm hứng sáng tạo cho chị như thế nào?	[[('Tình_yêu', 'N'), ('ấy', 'P'), ('đã', 'R'), ('mang', 'V'), ('tới', 'E'), ('cảm_hứng', 'N'), ('sáng_tạo', 'V'), ('cho', 'E'), ('chị', 'N'), ('như_thế_nào', 'X'), ('?', 'CH')]]
- Mười bảy tuổi tôi đã có mối tình thứ hai, yêu sớm quá phải không? Một ngày đẹp trời tập hát xong đang ngồi mơ màng uống nước giải khát thì anh ấy lân la đến hỏi thăm, hai người cùng chơi chung ban nhạc Tây Hồ	[[('-', 'CH'), ('Mười_bảy', 'M'), ('tuổi', 'N'), ('tôi', 'P'), ('đã', 'R'), ('có', 'V'), ('mối', 'N'), ('tình', 'N'), ('thứ', 'N'), ('hai', 'M'), (',', 'CH'), ('yêu', 'V'), ('sớm', 'A'), ('quá', 'R'), ('phải', 'A'), ('không', 'R'), ('?', 'CH')], [('Một', 'M'), ('ngày', 'N'), ('đẹp', 'A'), ('trời', 'N'), ('tập', 'V'), ('hát', 'V'), ('xong', 'R'), ('đang', 'R'), ('ngồi', 'V'), ('mơ_màng', 'V'), ('uống', 'V'), ('nước', 'N'), ('giải_khát', 'V'), ('thì', 'C'), ('anh', 'N'), ('ấy', 'P'), ('lân_la', 'V'), ('đến', 'V'), ('hỏi_thăm', 'V'), (',', 'CH'), ('hai', 'M'), ('người', 'N'), ('cùng', 'A'), ('chơi', 'V'), ('chung', 'A'), ('ban', 'N'), ('nhạc', 'N'), ('Tây_Hồ', 'Np')]]
Trước đây tôi từng nghe về tiếng sét ái tình nhưng không hình dung được nó thế nào	[[('Trước_đây', 'N'), ('tôi', 'P'), ('từng', 'R'), ('nghe', 'V'), ('về', 'E'), ('tiếng', 'N'), ('sét', 'N'), ('ái_tình', 'V'), ('nhưng', 'C'), ('không', 'R'), ('hình_dung', 'V'), ('được', 'R'), ('nó', 'P'), ('thế_nào', 'X')]]
Vậy mà đùng một cái, nó đánh trúng ngay tim	[[('Vậy_mà', 'C'), ('đùng_một_cái', 'N'), (',', 'CH'), ('nó', 'P'), ('đánh', 'V'), ('trúng', 'V'), ('ngay', 'R'), ('tim', 'N')]]
Loạn nhịp mất một thời gian dài mới trấn tĩnh được và say mê nhau đến giờ	[[('Loạn', 'V'), ('nhịp', 'N'), ('mất', 'V'), ('một', 'M'), ('thời_gian', 'N'), ('dài', 'A'), ('mới', 'R'), ('trấn_tĩnh', 'V'), ('được', 'R'), ('và', 'Cc'), ('say_mê', 'V'), ('nhau', 'N'), ('đến', 'E'), ('giờ', 'N')]]
Đó là anh Trần Hùng, con trai cưng của NSND Tường Vi và bố của "thằng cu Trần Anh Trung" bây giờ	[[('Đó', 'P'), ('là', 'V'), ('anh', 'Nc'), ('Trần_Hùng', 'Np'), (',', 'CH'), ('con', 'Nc'), ('trai', 'N'), ('cưng', 'A'), ('của', 'E'), ('NSND', 'Ny'), ('Tường_Vi', 'Np'), ('và', 'Cc'), ('bố', 'N'), ('của', 'E'), ('"', 'CH'), ('thằng', 'Nc'), ('cu', 'N'), ('Trần_Anh_Trung', 'Np'), ('"', 'CH'), ('bây_giờ', 'P')]]
Thật tuyệt, những chỗ nào hát chưa ổn, mẹ chỉnh cho là xong ngay	[[('Thật', 'R'), ('tuyệt', 'A'), (',', 'CH'), ('những', 'L'), ('chỗ', 'N'), ('nào', 'P'), ('hát', 'V'), ('chưa', 'R'), ('ổn', 'A'), (',', 'CH'), ('mẹ', 'N'), ('chỉnh', 'V'), ('cho', 'V'), ('là', 'C'), ('xong', 'V'), ('ngay', 'T')]]
Anh Hùng thì làm nhạc, hòa âm cho tôi và luôn động viên an ủi	[[('Anh', 'Nc'), ('Hùng', 'Np'), ('thì', 'C'), ('làm', 'V'), ('nhạc', 'N'), (',', 'CH'), ('hoà_âm', 'N'), ('cho', 'E'), ('tôi', 'P'), ('và', 'Cc'), ('luôn', 'R'), ('động_viên', 'V'), ('an_ủi', 'V')]]
