Với chất giọng đẹp và phong cách biểu diễn "bốc lửa", Ngọc Anh khá thành công trên con đường ca hát	[[('Với', 'O'), ('chất', 'O'), ('giọng', 'O'), ('đẹp', 'O'), ('và', 'O'), ('phong_cách', 'O'), ('biểu_diễn', 'O'), ('"', 'O'), ('bốc_lửa', 'O'), ('"', 'O'), (',', 'O'), ('Ngọc_Anh', 'B-PER'), ('khá', 'O'), ('thành_công', 'O'), ('trên', 'O'), ('con', 'O'), ('đường', 'O'), ('ca_hát', 'O')]]
Mỗi album của chị để lại những ấn tượng thật đẹp trong lòng công chúng	[[('Mỗi', 'O'), ('album', 'O'), ('của', 'O'), ('chị', 'O'), ('để', 'O'), ('lại', 'O'), ('những', 'O'), ('ấn_tượng', 'O'), ('thật', 'O'), ('đẹp', 'O'), ('trong', 'O'), ('lòng', 'O'), ('công_chúng', 'O')]]
Ngọc Anh tâm sự về gia đình hạnh phúc của mình	[[('Ngọc_Anh', 'B-PER'), ('tâm_sự', 'O'), ('về', 'O'), ('gia_đình', 'O'), ('hạnh_phúc', 'O'), ('của', 'O'), ('mình', 'O')]]
- Có lần chị thổ lộ, mình ca hát thành công một phần nhờ người yêu	[[('-', 'O'), ('Có', 'O'), ('lần', 'O'), ('chị', 'O'), ('thổ_lộ', 'O'), (',', 'O'), ('mình', 'O'), ('ca_hát', 'O'), ('thành_công', 'O'), ('một', 'O'), ('phần', 'O'), ('nhờ', 'O'), ('người', 'O'), ('yêu', 'O')]]
Tình yêu ấy đã mang tới cảm hứng sáng tạo cho chị như thế nào?	[[('Tình_yêu', 'O'), ('ấy', 'O'), ('đã', 'O'), ('mang', 'O'), ('tới', 'O'), ('cảm_hứng', 'O'), ('sáng_tạo', 'O'), ('cho', 'O'), ('chị', 'O'), ('như_thế_nào', 'O'), ('?', 'O')]]
- Mười bảy tuổi tôi đã có mối tình thứ hai, yêu sớm quá phải không? Một ngày đẹp trời tập hát xong đang ngồi mơ màng uống nước giải khát thì anh ấy lân la đến hỏi thăm, hai người cùng chơi chung ban nhạc Tây Hồ	[[('-', 'O'), ('Mười_bảy', 'O'), ('tuổi', 'O'), ('tôi', 'O'), ('đã', 'O'), ('có', 'O'), ('mối', 'O'), ('tình', 'O'), ('thứ', 'O'), ('hai', 'O'), (',', 'O'), ('yêu', 'O'), ('sớm', 'O'), ('quá', 'O'), ('phải', 'O'), ('không', 'O'), ('?', 'O')], [('Một', 'O'), ('ngày', 'O'), ('đẹp', 'O'), ('trời', 'O'), ('tập', 'O'), ('hát', 'O'), ('xong', 'O'), ('đang', 'O'), ('ngồi', 'O'), ('mơ_màng', 'O'), ('uống', 'O'), ('nước', 'O'), ('giải_khát', 'O'), ('thì', 'O'), ('anh', 'O'), ('ấy', 'O'), ('lân_la', 'O'), ('đến', 'O'), ('hỏi_thăm', 'O'), (',', 'O'), ('hai', 'O'), ('người', 'O'), ('cùng', 'O'), ('chơi', 'O'), ('chung', 'O'), ('ban', 'O'), ('nhạc', 'O'), ('Tây_Hồ', 'B-LOC')]]
Trước đây tôi từng nghe về tiếng sét ái tình nhưng không hình dung được nó thế nào	[[('Trước_đây', 'O'), ('tôi', 'O'), ('từng', 'O'), ('nghe', 'O'), ('về', 'O'), ('tiếng', 'O'), ('sét', 'O'), ('ái_tình', 'O'), ('nhưng', 'O'), ('không', 'O'), ('hình_dung', 'O'), ('được', 'O'), ('nó', 'O'), ('thế_nào', 'O')]]
Vậy mà đùng một cái, nó đánh trúng ngay tim	[[('Vậy_mà', 'O'), ('đùng_một_cái', 'O'), (',', 'O'), ('nó', 'O'), ('đánh', 'O'), ('trúng', 'O'), ('ngay', 'O'), ('tim', 'O')]]
Loạn nhịp mất một thời gian dài mới trấn tĩnh được và say mê nhau đến giờ	[[('Loạn', 'O'), ('nhịp', 'O'), ('mất', 'O'), ('một', 'O'), ('thời_gian', 'O'), ('dài', 'O'), ('mới', 'O'), ('trấn_tĩnh', 'O'), ('được', 'O'), ('và', 'O'), ('say_mê', 'O'), ('nhau', 'O'), ('đến', 'O'), ('giờ', 'O')]]
Đó là anh Trần Hùng, con trai cưng của NSND Tường Vi và bố của "thằng cu Trần Anh Trung" bây giờ	[[('Đó', 'O'), ('là', 'O'), ('anh', 'O'), ('Trần_Hùng', 'B-PER'), (',', 'O'), ('con', 'O'), ('trai', 'O'), ('cưng', 'O'), ('của', 'O'), ('NSND', 'O'), ('Tường_Vi', 'B-PER'), ('và', 'O'), ('bố', 'O'), ('của', 'O'), ('"', 'O'), ('thằng', 'O'), ('cu', 'O'), ('Trần_Anh_Trung', 'B-PER'), ('"', 'O'), ('bây_giờ', 'O')]]
Thật tuyệt, những chỗ nào hát chưa ổn, mẹ chỉnh cho là xong ngay	[[('Thật', 'O'), ('tuyệt', 'O'), (',', 'O'), ('những', 'O'), ('chỗ', 'O'), ('nào', 'O'), ('hát', 'O'), ('chưa', 'O'), ('ổn', 'O'), (',', 'O'), ('mẹ', 'O'), ('chỉnh', 'O'), ('cho', 'O'), ('là', 'O'), ('xong', 'O'), ('ngay', 'O')]]
