Với chất giọng đẹp và phong cách biểu diễn "bốc lửa", Ngọc Anh khá thành công trên con đường ca hát	[[('adv', 14, 1), ('pob', 1, 2), ('nmod', 2, 3), ('nmod', 2, 4), ('coord', 2, 5), ('conj', 5, 6), ('nmod', 6, 7), ('punct', 9, 8), ('nmod', 6, 9), ('punct', 9, 10), ('punct', 14, 11), ('sub', 14, 12), ('adv', 14, 13), ('root', 0, 14), ('loc', 14, 15), ('pob', 15, 16), ('nmod', 16, 17), ('nmod', 16, 18)]]
Mỗi album của chị để lại những ấn tượng thật đẹp trong lòng công chúng	[[('det', 2, 1), ('sub', 5, 2), ('nmod', 2, 3), ('pob', 3, 4), ('root', 0, 5), ('adv', 5, 6), ('det', 8, 7), ('dob', 5, 8), ('amod', 10, 9), ('nmod', 8, 10), ('amod', 10, 11), ('pob', 11, 12), ('nmod', 12, 13)]]
Ngọc Anh tâm sự về gia đình hạnh phúc của mình	[[('sub', 2, 1), ('root', 0, 2), ('vmod', 2, 3), ('pob', 3, 4), ('nmod', 4, 5), ('nmod', 4, 6), ('pob', 6, 7)]]
- Có lần chị thổ lộ, mình ca hát thành công một phần nhờ người yêu	[[('punct', 2, 1), ('root', 0, 2), ('dob', 2, 3), ('sub', 5, 4), ('nmod', 3, 5), ('punct', 5, 6), ('sub', 8, 7), ('vmod', 5, 8), ('vmod', 8, 9), ('det', 11, 10), ('dob', 8, 11), ('nmod', 11, 12), ('dob', 12, 13), ('nmod', 13, 14)]]
Tình yêu ấy đã mang tới cảm hứng sáng tạo cho chị như thế nào?	[[('sub', 4, 1), ('det', 1, 2), ('adv', 4, 3), ('root', 0, 4), ('vmod', 4, 5), ('pob', 5, 6), ('nmod', 6, 7), ('vmod', 4, 8), ('pob', 8, 9), ('x', 4, 10), ('punct', 4, 11)]]
- Mười bảy tuổi tôi đã có mối tình thứ hai, yêu sớm quá phải không? Một ngày đẹp trời tập hát xong đang ngồi mơ màng uống nước giải khát thì anh ấy lân la đến hỏi thăm, hai người cùng chơi chung ban nhạc Tây Hồ	[[('punct', 6, 1), ('det', 3, 2), ('tmp', 6, 3), ('sub', 6, 4), ('adv', 6, 5), ('root', 0, 6), ('dob', 6, 7), ('nmod', 7, 8), ('nmod', 7, 9), ('det', 9, 10), ('punct', 12, 11), ('amod', 15, 12), ('vmod', 12, 13), ('amod', 15, 14), ('prd', 17, 15), ('amod', 15, 16), ('punct', 6, 17)], [('det', 2, 1), ('tmp', 5, 2), ('nmod', 2, 3), ('amod', 3, 4), ('root', 0, 5), ('vmod', 5, 6), ('adv', 6, 7), ('adv', 9, 8), ('vmod', 5, 9), ('vmod', 9, 10), ('vmod', 10, 11), ('dob', 11, 12), ('nmod', 12, 13), ('coord', 5, 14), ('sub', 17, 15), ('det', 15, 16), ('conj', 14, 17), ('vmod', 17, 18), ('prp', 18, 19), ('punct', 5, 20), ('det', 22, 21), ('sub', 24, 22), ('nmod', 22, 23), ('dep', 5, 24), ('vmod', 24, 25), ('dob', 24, 26), ('nmod', 26, 27), ('nmod', 26, 28)]]
Trước đây tôi từng nghe về tiếng sét ái tình nhưng không hình dung được nó thế nào	[[('tmp', 4, 1), ('sub', 4, 2), ('adv', 4, 3), ('root', 0, 4), ('vmod', 4, 5), ('pob', 5, 6), ('nmod', 6, 7), ('nmod', 6, 8), ('coord', 4, 9), ('adv', 11, 10), ('conj', 9, 11), ('adv', 11, 12), ('sub', 11, 13), ('x', 11, 14)]]
Vậy mà đùng một cái, nó đánh trúng ngay tim	[[('dep', 5, 1), ('tmp', 5, 2), ('punct', 5, 3), ('sub', 5, 4), ('root', 0, 5), ('vmod', 5, 6), ('adv', 6, 7), ('dob', 6, 8)]]
Loạn nhịp mất một thời gian dài mới trấn tĩnh được và say mê nhau đến giờ	[[('root', 0, 1), ('dob', 1, 2), ('vmod', 1, 3), ('det', 5, 4), ('dob', 3, 5), ('nmod', 5, 6), ('adv', 8, 7), ('vmod', 1, 8), ('adv', 8, 9), ('coord', 8, 10), ('conj', 10, 11), ('vmod', 11, 12), ('tmp', 8, 13), ('pob', 13, 14)]]
Đó là anh Trần Hùng, con trai cưng của NSND Tường Vi và bố của "thằng cu Trần Anh Trung" bây giờ	[[('sub', 2, 1), ('root', 0, 2), ('dob', 2, 3), ('nmod', 3, 4), ('punct', 3, 5), ('nmod', 3, 6), ('nmod', 6, 7), ('nmod', 6, 8), ('nmod', 6, 9), ('pob', 9, 10), ('nmod', 10, 11), ('nmod', 3, 12), ('nmod', 3, 13), ('nmod', 3, 14), ('punct', 16, 15), ('pob', 14, 16), ('nmod', 16, 17), ('nmod', 16, 18), ('punct', 16, 19), ('nmod', 3, 20)]]
Thật tuyệt, những chỗ nào hát chưa ổn, mẹ chỉnh cho là xong ngay	[[('amod', 2, 1), ('prd', 12, 2), ('punct', 12, 3), ('det', 5, 4), ('sub', 9, 5), ('nmod', 5, 6), ('nmod', 5, 7), ('amod', 9, 8), ('dep', 2, 9), ('punct', 12, 10), ('sub', 12, 11), ('root', 0, 12), ('vmod', 12, 13), ('coord', 13, 14), ('conj', 14, 15), ('vmod', 15, 16)]]
